"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"AVL2WKP4","journalArticle","2023","Socha, Peter; Harper, Sam; Hutcheon, Jennifer A.","Subgroup effects should be examined using both relative and absolute effect measures","Australian and New Zealand Journal of Obstetrics and Gynaecology","","0004-8666, 1479-828X","10.1111/ajo.13656","https://obgyn.onlinelibrary.wiley.com/doi/10.1111/ajo.13656","Treatment effects can be measured on the relative scale (eg, risk ratios, odds ratios) or the absolute scale (eg, risk differences). If the baseline risk of an outcome is different between subgroups, the effect of the treatment will differ between subgroups on at least one scale (relative, absolute, or both). We illustrate this using two examples from the literature where only relative effects were estimated, but conclusions about subgroup differences would likely have changed had absolute effects also been considered. To identify all meaningful subgroup differences, researchers and clinicians should compare effects on the relative and absolute scale.","2023-06","2023-04-19 19:21:53","2024-10-18 13:08:29","2024-10-18 13:08:07","469-472","","3","63","","Aust NZ J Obst Gynaeco","","","","","","","","en","","","","","DOI.org (Crossref)","","tex.ids= socha _eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1111/ajo.13656","","/Users/samharper/Zotero/storage/8NDJLFB6/ajo.html; /Users/samharper/Dropbox/work/research/zotero/Socha-Aust_NZ_J_Obst_Gynaeco-2023-Subgroup2.pdf; /Users/samharper/Dropbox/work/research/zotero/Socha-Subgroup.pdf","","","preterm birth; epidemiology; statistics; corticosteroid; relative risk","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"29WEU2DT","journalArticle","2022","Windle, Sarah B.; Socha, Peter; Nazif-Munoz, José Ignacio; Harper, Sam; Nandi, Arijit","The Impact of Cannabis Decriminalization and Legalization on Road Safety Outcomes: A Systematic Review","American Journal of Preventive Medicine","","07493797","10.1016/j.amepre.2022.07.012","https://linkinghub.elsevier.com/retrieve/pii/S0749379722004093","","2022-12","2024-10-31 11:13:14","2024-10-31 11:13:14","2024-10-31 11:13:14","1037-1052","","6","63","","American Journal of Preventive Medicine","The Impact of Cannabis Decriminalization and Legalization on Road Safety Outcomes","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XNR39355","journalArticle","2024","Lee, M.; Chang, J.; Deng, Q.; Hu, P.; Bixby, H.; Harper, S.; Liu, J.","Effects of a coal to clean heating policy on acute myocardial infarction in Beijing: a difference-in-differences analysis","The Lancet. Planetary Health","","","10.1016/S2542-5196(24)00243-2","","","2024","2024-11-25 11:01:32","2024-11-25 11:01:32","","924– 932","","11","8","","","","","","","","","","en","","","","","","","Citation Key: lee2024a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9FRSJRZR","journalArticle","2024","Burgos-Ochoa, L.; Bertens, L.C.; Boderie, N.W.; Gravesteijn, B.Y.; Obermann-Borst, S.; Rosman, A.; P.R.E.P.A.R.E.-consortium","Impact of COVID-19 mitigation measures on perinatal outcomes in the Netherlands","Public Health","","","10.1016/j.puhe.2024.09.002","","Objective: Investigate the acute impact of COVID-19 mitigation measures implemented in March 2020 on a comprehensive range of perinatal outcomes. Study design: National registry-based quasi-experimental study. Methods: We obtained data from the Dutch Perinatal Registry (2010-2020) which was linked to multiple population registries containing sociodemographic variables. A difference-in-discontinuity approach was used to examine the impact of COVID-19 mitigation measures on various perinatal outcomes. We investigated preterm birth incidence across onset types, alongside other perinatal outcomes including low birth weight, small-for-gestational-age, NICU admission, low-APGAR-score, perinatal mortality, neonatal death, and stillbirths. Results: The analysis of the national-level dataset revealed a consistent pattern of reduced preterm births after the enactment of COVID-19 mitigation measures on March 9, 2020 (OR = 0.80, 95% CI 0.68-0.96). A drop in spontaneous preterm births post-implementation was observed (OR = 0.80, 95% CI 0.62-0.98), whereas no change was observed for iatrogenic births. Regarding stillbirths (OR = 0.95, 95% CI 0.46-1.95) our analysis did not find compelling evidence of substantial changes. For the remaining outcomes, no discernible shifts were observed. Conclusions: Our findings confirm the reduction in preterm births following COVID-19 mitigation measures in the Netherlands. No discernible changes were observed for other outcomes, including stillbirths. Our results challenge previous concerns of a potential increase in stillbirths contributing to the drop in preterm births, suggesting alternative mechanisms.","2024","2024-11-25 11:01:32","2024-11-25 11:03:55","","322–327","","","236","","","","","","","","","","en","","","","","","","Citation Key: burgos-ochoa2024a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EZQFF86C","journalArticle","2024","Gravesteijn, B.Y.; Boderie, N.W.; Akker, T.; Bertens, L.C.M.; Bloemenkamp, K.; Burgos Ochoa, L.; P.R.E.P.A.R.E.-consortium","Effect of COVID-19 lockdown on maternity care and maternal outcome in the Netherlands: a national quasi-experimental study","Public Health","","","10.1016/j.puhe.2024.06.024","","","2024","2024-11-25 11:01:32","2024-11-25 11:01:32","","15–25","","","235","","","","","","","","","","en","","","","","","","Citation Key: gravesteijn2024a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XJG8UZRV","journalArticle","2024","Socha, P.M.; Harper, S.; Hutcheon, J.A.","Methods of confounder selection in obstetrics and gynaecology studies: An overview of recent practice","BJOG: An International Journal of Obstetrics and Gynaecology","","","10.1111/1471-0528.17799","","","2024","2024-11-25 11:01:32","2024-11-25 11:01:32","","1430–1431","","10","131","","","","","","","","","","en","","","","","","","Citation Key: socha2024a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RLZ8BWT5","journalArticle","2024","Socha, P.M.; Harper, S.; Strumpf, E.; Murphy, K.E.; Hutcheon, J.A.","Antenatal corticosteroids and newborn respiratory outcomes in twins: A regression discontinuity study","BJOG: An International Journal of Obstetrics and Gynaecology","","","10.1111/1471-0528.17754","","","2024","2024-11-25 11:01:32","2024-11-25 11:01:32","","1064–1071","","8","131","","","","","","","","","","en","","","","","","","Citation Key: socha2024b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UA85AKCT","journalArticle","2024","Hetherington, E.; Darling, E.; Harper, S.; Nguyen, F.; Schummers, L.; Norman, W.V.","Inequalities in access to prenatal care during the COVID-19 pandemic: Analysis of a population-based cohort","Paediatric and Perinatal Epidemiology","","","10.1111/ppe.13050","","","2024","2024-11-25 11:01:32","2024-11-25 11:01:32","","291–301","","4","38","","","","","","","","","","en","","","","","","","Citation Key: hetherington2024a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V4FJG37L","journalArticle","2024","Al-Soneidar, W.A.; Harper, S.; Coutlée, F.; Gheit, T.; Tommasino, M.; Nicolau, B.","Prevalence of alpha, beta, and gamma human papillomaviruses in patients with head and neck cancer and noncancer controls and relation to behavioral factors","The Journal of Infectious Diseases","","","10.1093/infdis/jiad335","","","2024","2024-11-25 11:01:32","2024-11-25 11:01:32","","1088–1096","","4","229","","","","","","","","","","en","","","","","","","Citation Key: al-soneidar2024a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XM25DI5J","document","2023","Harper, S.; Nandi, A.","Empirical challenges in defining treatments and time in the evaluation of gun laws. Epidemiology","","","","","","","2023","2024-11-25 11:01:33","2024-11-25 11:01:33","","","","","","","","","","","","","","","en","","","","","","","Citation Key: harper2023a DOI: 10.1097/EDE.0000000000001663 Issue: 6 Pages: 793–795 Place: Cambridge Volume: 34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M5ZE28KL","journalArticle","2023","Anato, J.L.F.; Ma, H.; Hamilton, M.A.; Xia, Y.; Harper, S.; Buckeridge, D.; Maheu-Giroux, M.","Impact of a vaccine passport on first-dose SARS-CoV-2 vaccine coverage by age and area-level social determinants of health in the Canadian provinces of Quebec and Ontario: an interrupted time series analysis","CMAJ Open","","","10.9778/cmajo.20220242","","","2023","2024-11-25 11:01:33","2024-11-25 11:01:33","","995– 1005","","5","11","","","","","","","","","","en","","","","","","","Citation Key: anato2023a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PFVTSR5C","journalArticle","2023","Hawkins, S.S.; Harper, S.; Baum, C.F.; Kaufman, J.S.","Associations between state-level changes in reproductive health services and indicators of severe maternal morbidity","JAMA Pediatrics","","","10.1001/jamapediatrics.2022.4136","","","2023","2024-11-25 11:01:33","2024-11-25 11:01:33","","93–95","","1","177","","","","","","","","","","en","","","","","","","Citation Key: hawkins2023a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
